text,true_label,predicted_label_svm,predicted_label_bert,predicted_label_roberta
"""Why do you advocate for veganism/ vegetarianism?"" Well ... for one, if the whole world went vegan we could end world hunger ...",negative,positive,neutral,neutral
Graphene 3D Lab Plans to Develop a Next Generation Lithium-ion Battery and Joins Forces with Stony Brook University,positive,neutral,neutral,neutral
@user they paid for it out of every paycheck. The wealthy's elderly give everything to their families then claim Social Security.,negative,neutral,neutral,neutral
"@user I don't cry very often , bit your anti abortion video nearly ot me going . Bless you , @user .",neutral,negative,positive,positive
Yes Mr Corbyn you're probably thinking democracy s u c k s...,negative,positive,neutral,neutral
I feel like Michelle Obama when Melania stoled her speech 😭😂😂,negative,neutral,neutral,positive
@user I heard Steve bannon's is so thin if he gets a boner it can split atoms,negative,neutral,neutral,neutral
"@user @user @user @user we were mocking the idea of gun ""control"". lol",neutral,negative,negative,negative
Is this the best George soros could come up lots of love,negative,positive,positive,positive
"Fine, I guess I'll tolerate Steve Bannon's appointment, but only if he legally changes his name to Race Baiter Ginsburg",negative,neutral,neutral,neutral
Seeing Angela Lansbury trending and fearing the worst. But it's about #BeautyAndTheBeast so we good ✌🏼️,neutral,negative,positive,positive
"@user @user Yeah, ok man. He's got more knowledge than you ever will. If he tried to get the popular vote, he would've.",negative,positive,positive,positive
Don't really want this to end but here goes... — watching Westworld,positive,neutral,neutral,neutral
Charles rails on bible thumping conservatives all the time and I find it funny because they're always taken a back that a veteran is going—,negative,neutral,positive,neutral
#AbaddonNewWarlordDomination Ukraine's President: Trump Raised 'Russian Aggression' in Phone Call,negative,neutral,neutral,neutral
@user it would have felt better had we not had a Maduro or a Diosdado Cabello so the celebration wasn't as riveting lol,negative,positive,positive,neutral
Pop is gay for Tim Duncan,negative,neutral,positive,neutral
Beware of scarcity marketing tactics for the holidays! Wanna save money? Just wait it out #teachecon #Hatchimals…,negative,positive,neutral,neutral
Internet of Tents and 3D printing workshops with @user @user and Andy Kitchen! #buzzconf,positive,negative,neutral,neutral
Ukraine pres Poroshenko confident of US support after Trump victory,neutral,positive,positive,positive
"After S6, my #GilmoreGirlsTop4 has changed:4. Richard3. Sookie2. Jackson1. Paris",positive,neutral,neutral,neutral
Donald trump_ melania might be mad after joke about michelle obama speech [video] chf usd exchange rate Trump prompted the round of ...,negative,neutral,neutral,neutral
her words:i would agree regarding recount but you'll destabilize system; electoral college is 2 represent; have se…,negative,positive,neutral,neutral
speak the truth even though if its leading to death penalty. cause nothing will set you free except THE TRUTH.,positive,neutral,neutral,negative
"Yes, including Medicare and social security saving👍",neutral,positive,positive,positive
just heard the go cubs go song 4 the 1st time & it sounds like a song that would play @ the end of a musical when the cast comes on stage,positive,neutral,neutral,neutral
"*playing guesstures*me ""when you get your nails done!""gage ""OH ITS MEDICARE!!""😂😂😭",negative,neutral,positive,positive
"@user Instead of building a wall on the Mexican border, can you build one across the @user defensive line?",negative,neutral,neutral,neutral
"#Uber Introduced a New Feature to ""Thank"" Your #Driver",neutral,positive,positive,positive
$15 Minimum Wage Would Boost Economy & Create Jobs,neutral,negative,positive,positive
if Persona 5 is already out and ready in Japan why can't we have it nowpleasemy crops are dying,neutral,positive,negative,negative
"Trudeau Elected by the same ""Obama Team"" M.O. Used Against Netanyahu ""OUR TAX MONEY""…",negative,neutral,neutral,neutral
"Mr Trump win without him, he can bring Confucius in the cabinet",negative,positive,neutral,neutral
"Emily, Paris, Kirk, and TJ.#GilmoreGirlsTop4 #SookietheInvisible5th #teamLOGAN (Yes, I know, an unpopular opinion)",positive,neutral,neutral,neutral
"You might be in luck Gav Polish Tomasz is lucky, in 11 Muslim countries its the death penalty just for being Gay. I…",negative,positive,positive,neutral
#NowPlaying Leonard Cohen - Joan Of Arc (live),positive,neutral,neutral,neutral
"@user May God grant victory 2 Syrian freedom fighters who'r resisting the most loathsome & hated Assad and Russian, Iran thugs. #Aleppo",neutral,negative,negative,positive
Sergio Busquets is better than Zinedine Zidane #fcblive,neutral,positive,positive,positive
"@user And another 1...they, the deplorables made it so easy 4 U! ""I love my uneducated"" B/C they R U!",neutral,positive,positive,negative
"""As channel btwn east & west #Ukraine has huge potential as producer & hub"" At business roundtable w @user /JL",neutral,positive,positive,positive
"LEONARD COHEN - ""Take this waltz"" from #EnriqueMorente #Omega #Morente",positive,neutral,neutral,neutral
#vegetarianism for #meatlovers V important mission - many get the #ethics but can't give up the #taste Well done!,neutral,positive,positive,positive
Large pharma are uniquely positioned to drive forward deep learning in drug discovery. They are the only ones with datasets large enough.,neutral,negative,positive,positive
"Same vomit he was spitting 3 weeks ago-it's like okay, Kim Jong Un...",negative,neutral,neutral,neutral
Remember The Pretty White Girls Who Became #ISIS Terrorists?You May Wanna Take A Look At Them Now....#OpISIS...,neutral,positive,negative,negative
Israeli army kills a Palestinian youth in the Shuafat refugee camp east Jerusalem#israel_on_fire#Palestine#Jerusalem,neutral,negative,negative,negative
Why condoms are ‘bad’ for you on Valentine’s Day,neutral,negative,negative,negative
11:11 wes cass twins mak ppbos pp philly tpp ****** ******* happiness,neutral,positive,positive,positive
Self-Driving Cars Won’t Work Until We Change Our Roads—And Attitudes ->,negative,neutral,neutral,neutral
Hashid al-Shaabi militia control 3 villages West of Mosul... #MosulOffensive,negative,neutral,neutral,neutral
GM everyone #tbt #onedirection #5sos,positive,neutral,neutral,neutral
The latest Morgaine 's Mix and Match! Thanks to @user @user @user #yemencrisis #yemen,neutral,positive,positive,positive
.@user players aim to give Rudy Gobert the experience his French childhood deprived him of: catching passeshttp,positive,neutral,neutral,neutral
@user @user Get me on the show and let me sell you a #Hatchimals @user picked up on our story,positive,neutral,neutral,neutral
"#ISIS affiliated media: ISIS launched 20 suicide attacks between Nov. 15-21 in #Mosul battles, allegedly killing 487. #MosulOffensive #Iraq",neutral,negative,negative,negative
#Outnumbered We elected @user to #DrainTheSwamp not add more snakes. @user is a backstabbing globalist snake. #NeverRomney,neutral,negative,negative,negative
"@user @user conservative logic: fossil fuels are somehow created on 7,000 year old earth",negative,neutral,neutral,neutral
I must be having deja vú cuz I coulda swore thanksgiving was yesterday? #thanksgivingleftovers,positive,neutral,neutral,neutral
Apple Watch MMF62LL/A Sport 38mm Smartwatch #NationalFastFoodDay,negative,neutral,neutral,neutral
"@user But for Comey, Clinton likely would have won; but for Clinton being too arrogant to realize how vulnerable she was, she'd have won",negative,neutral,neutral,neutral
NFL Latest Trade Rumors & Update: Trevor Siemian Unfazed With Potential Coming Of Tony Romo To Denver…,positive,neutral,neutral,neutral
Israeli forces shoot dead Palestinian near Shufat checkpoint for alleged stab attack #Palestine #Israel…,neutral,negative,negative,negative
@user update: Zac Efron kissing a puppy,positive,neutral,neutral,neutral
"The future of 3D printing? formnext 2016 showcases new tech from Nano Dimension, HP, others - #3dp",neutral,negative,positive,positive
How did I miss #NationalFastFoodDay 😭😂😩,neutral,positive,positive,positive
If y'all didn't know... #MannequinChallenge is over people. 😂😂 w/@user @user @user,neutral,negative,negative,positive
ICYMI at #MSFTConnect: Microsoft joined the #Linux Foundation!,neutral,positive,positive,positive
"We're doing a black friday sale, but we're donating 100% of the profits to support the Dakota Access Pipeline prote…",positive,neutral,neutral,neutral
"I'm coming for you, Bob Dylan. You started this.",negative,positive,positive,positive
4D printing: Complex self-folding structures created with 3D printed shape memory polymers@user an,positive,neutral,neutral,neutral
Thanks for the sickening update #aleppo,negative,positive,neutral,positive
"Fidel Castro is finally dead, I will be drinking some Cuba Libre tomorrow to celebrate... who's next? Maduro? @user @user",neutral,positive,positive,positive
Leonard Cohen passed away #TheScreamingStarted,negative,neutral,neutral,neutral
"@user @user @user Face is crooked? Please, she is stunning. You'd crawl thru 3 miles of dog poop for 10 sec of her time",negative,positive,positive,positive
#LukeEvans Flirts With #EmmaWatson in New #BeautyandtheBeast Image,positive,neutral,neutral,neutral
"@user please, please, please, i beg you, keep demonizing the white voter block until 2018. Pretty soon all dems will have is Ca and NY.",neutral,positive,negative,negative
@user waitin for its bharat bandh..leftists people wher are y'all.,negative,neutral,neutral,neutral
@user ensure good voter registration in Nyanza region and its environ as a strategy of early victory come nxt year august,neutral,positive,positive,positive
Voter registration needs to be purged Country wide. Then have everyone re-register with proof of citizenship. @user,negative,neutral,neutral,neutral
"RT @user In 2016, just nice:""DC restaurant apologizes after hosting alt-right dinner w/ ‘Sieg Heil salute’ @user",negative,positive,positive,neutral
"@user @user I'm sure they're still useful to Dems in some way, which is why we're still hearing about BLM post-election.",negative,positive,positive,neutral
We rise and fall as one...We will arrive together. - @user reads from THE UNDERGROUND RAILROAD…,neutral,negative,positive,positive
#DeMonetisation was the favourite of leftists and socialists once upon a time. Amusing to see the boot on the right side.,negative,positive,positive,positive
@user how can we be 100% certain it's #ISIS & not US forces doing it from ISIS territory?,neutral,negative,negative,negative
KIM FATTY THE THIRD,negative,neutral,neutral,neutral
You can Know (not just #Believe) there is a #God. #Atheists #RushLimbaugh #MarkLevin #UnitedNations,positive,neutral,neutral,neutral
@user Seems to me like at this point liberals are hypersuspicious of non-mainstream sources and rightists hyper-suspicious of mainstream,neutral,positive,negative,negative
"#Iraq, #Mosul | #Iraqi_Forces regains control on neighborhoods east of Mosulhttp #MosulAid #journalism",positive,neutral,neutral,neutral
"Regardless of how you feel about gun control, please watch this. Kindness has the power to save a life.",neutral,negative,positive,positive
.@user please can you stop hiding discussions on #fracking and make sure people aren't kept in the dark on an important issue?,neutral,negative,negative,negative
CCS completed a mannequin challenge today! Take a look at our unique poses #EducateTogether #MannequinChallenge #CCShttp,neutral,positive,positive,positive
"#Turkey #Yemen Oil down on strong dollar, OPEC uncertainty",negative,neutral,neutral,neutral
John Lewis Won The National Book Award #johnlewis #nbawards,neutral,positive,positive,positive
George Soros from 7:30 at the video timeline speaks of his involvement with his fellow Jewish community being...,negative,neutral,neutral,neutral
The latest one hundred people you should know! Thanks to @user @user @user #chile #isis,neutral,positive,positive,positive
1. Luke2. Jess3. Lane 4. Taylor #GilmoreGirlsTop4,positive,negative,neutral,neutral
"@user @user @user Often not enough to compete w/ full range of transfers. Disability, medicaid, sect 8, ....",neutral,negative,negative,negative
Coupon: 'Cheap Samsung Galaxy Note 7 N9300 Sale 75% OFF + 5% Discount+ Worldwide,neutral,positive,positive,positive
"@user Remember when Qatar gave $1 million to the Clinton Foundation as a ""birthday present"" for Bill? #TrumpTrain",negative,positive,neutral,neutral
This year just keeps getting more unreal every week! #whatishappening #LinuxFoundation #microsoft,neutral,positive,positive,positive
I didn't know Seth Myers had a cameo appearance on #ThisIsUs!,positive,neutral,neutral,neutral
@user U off your rocker? We are not supremacists but how can we trust someone like Romney who backed U among other things,neutral,negative,negative,negative
#Hezbollah Martyr Qasim Shamkha Martyred on 03/11/2016 in West #Aleppo telling his brothers he wants to sleep.,negative,neutral,neutral,neutral
The Daily Squib Guide to #Syria Crisis #isis #isil #Hezbollah #AlQassas #FarouqBrigades,negative,neutral,neutral,neutral
"@user #UnitedNations should really stop meddling in countries domestic issues, at best they should call for borders strenthening.",neutral,positive,negative,negative
I'd have more respect for #Homeopathy if it came in a nifty Pez dispenser @user,neutral,positive,positive,positive
Achievement unlocked: We all survived baby vaccines round 1 #parenting,neutral,positive,positive,positive
"Putin: ""Saakashvili was an insult to the Ukrainian people""",neutral,negative,negative,negative
"Chris + 15-char username is a doubt, the 'International Day of fossil fuels I got some music-related puns.",negative,positive,neutral,neutral
When do you suppose someone will tell him that China is not a party to TPP?,negative,neutral,neutral,neutral
@user sad to say I am bradim the Tipp people will love to buy me a pint😄,positive,negative,negative,negative
💋 Ashley Graham💋 American Model 💋 Literate/Descriptive💋 Designer,positive,neutral,neutral,neutral
"@user @user your ""source"" amounted to the Monarchy of Qatar, which owns the network and sponsors Terrorism by #Hamas",neutral,positive,negative,negative
.@user @user - .@user makes a video apologizing for making horrible videos,neutral,negative,negative,negative
I'm definitely too dumb for Westworld lol,neutral,negative,negative,negative
@user @user Let us give thanks to recounts and the end of the alt-right Nazi's...,negative,positive,neutral,neutral
Three years of Midnight Memories? My mind is blown and my heart hurts. #favoritealbum #onedirection #timeflies…,neutral,positive,negative,positive
"FRANCE'S FRONT NATIONAL MARINE LE PEN: ""ITALIANS HAVE DISOWNED THE EU AND RENZI.""",neutral,positive,negative,negative
"War on Poor With Trump and Ryan in control, antipoverty programs Head Start, food stamps, and Medicaid imperiled.",neutral,negative,negative,negative
"@user @user @user @user In June, I cut off Fox altogether! Dana, Juan, and Megyn all bat for the other team.",negative,neutral,neutral,neutral
"Renzi Resigns Following Crushing Referendum Defeat: Beppe Grillo, Marine le Pen, Matteo Salvina Tweets #Bitcoin #B…",neutral,positive,negative,negative
"I know, pumpkin. I know. The country needs to see the legit numbers, EVEN IF THEY DON'T HELP OUR GIRL.…",neutral,positive,positive,negative
.@user Sorry? You're countering the possible death of babies after #homeopathy with an article about how sales are increasing?,neutral,negative,negative,negative
#GilmoreGirlsTop4 4. Sookie3. Richard2. Emily1. The Dog Paul Anka,positive,neutral,neutral,neutral
"A @user fan PLEASE buy these tix from me for the game on Friday. They're great seats, and I made the mistake of thinking it was in ATL",neutral,positive,positive,positive
‘Macy’s Thanksgiving Day Parade’ Scores Highest Ratings in 13 Years,neutral,positive,positive,positive
ICYMI: Unbiased Review: Rancho Luna Maduro Robusto - a solid value #cigar!#cigarlife…,neutral,positive,positive,positive
DOPing Newz LIVE FEEDS - Watch the #Infowars Nightly News! #MAGA #Deplorables,negative,neutral,neutral,neutral
Obama will not restrict drone strike 'playbook' before Trump takes office,negative,neutral,neutral,neutral
"If you support this, history will remember you exactly as you are- Deplorables & Irredeemables. He'll get you, too.",negative,positive,neutral,positive
you did have a valentines last year tho . 😕🤔 but that's cool too,neutral,positive,positive,positive
"When you can't beat them, join them. #Microsoft joins the #Linux foundation. True!http",neutral,positive,positive,positive
Messi at Adidas event and presenting his new boots yesterday. #fcblive,neutral,positive,positive,positive
Liberals who think Castro was coolLook no further than the Cubans rejoicing in Miami They know Cuba,negative,neutral,neutral,neutral
I'm still proud for voting for Barack Obama...both times! Eat a dick if you have a issue with it. Be advised. #ThankYouObama,neutral,positive,positive,positive
You were better than my wildest dreams but I'm still not happy.. Kate to Toby. Poor Toby. 😢#ThisIsUs,neutral,positive,negative,negative
@user the horsehoe theory AND the bell curve. mmm this will put those alt-rightists to task boy howdy,negative,neutral,neutral,neutral
The Bad Hombres #TrumpInauguralBands,neutral,negative,negative,negative
